2G_1D2D_MEAN,2G_1D2D_SD,2G_1Dur_MEAN,2G_1Dur_SD,2G_1KeyLat_MEAN,2G_1KeyLat_SD,2G_2Dur_MEAN,2G_2Dur_SD,2G_Dur_MEAN,2G_Dur_SD,2G_NumEvents_MEAN,2G_NumEvents_SD,3G_1D2D_MEAN,3G_1D2D_SD,3G_1Dur_MEAN,3G_1Dur_SD,3G_1KeyLat_MEAN,3G_1KeyLat_SD,3G_2D2D_MEAN,3G_2D2D_SD,3G_2Dur_MEAN,3G_2Dur_SD,3G_2KeyLat_MEAN,3G_2KeyLat_SD,3G_3Dur_MEAN,3G_3Dur_SD,3G_Dur_MEAN,3G_Dur_SD,3G_NumEvents_MEAN,3G_NumEvents_SD,Mouse_Presses_Dur_MEAN,Mouse_Presses_Dur_SD,Mouse_Movement_Dur_MEAN,Mouse_Movement_Dur_SD,Mouse_Movement_X_MEAN,Mouse_Movement_X_SD,Mouse_Movement_Y_MEAN,Mouse_Movement_Y_SD,Attempts
560.125,960.7882,96.375,28.705128,473.25,952.2792,89.5,25.913317,649.625,980.2867,4.125,0.3307189,6599.4287,14595.741,89,25.439003,6551.7144,14589.228,636.4286,1004.19586,100.71429,28.12581,6521.5713,14358.639,93.14286,25.715078,7329,14408.185,6.857143,1.7261494,114.5,6.5,10866.6,21183.018,53.764706,78.69862,13.058824,19.061728,8
510.1111,736.85364,158.11111,72.26102,378.66666,742.3207,116.22222,28.479147,631.7778,750.28784,4.4444447,0.6849349,189.16667,104.1672,139.5,53.0055,113.5,81.11258,246.66667,199.07423,141.16667,53.421024,158.66667,198.7919,111.833336,29.401907,547.6667,301.02585,6.3333335,0.4714045,141,5,3482,3152.8657,30.666666,40.77536,23.277779,30.150497,1
622.4545,813.2698,81.36364,18.9222,543.2727,807.61285,79.63636,17.965992,702.0909,822.24475,4.090909,0.28747976,771.5,1505.6831,78.25,20.915007,712.25,1505.0543,335.25,313.0035,78.125,20.47216,804.125,1319.9706,74.375,14.317275,1181.125,1463.108,6.75,1.6393596,6,2,8566.667,5932.646,40.913044,50.641037,32.739132,44.706985,1
546.5417,1374.9305,90.041664,20.735394,458.66666,1364.6442,83.375,10.582267,629.9167,1373.782,4.25,1.010363,721.3333,1706.7369,99.26667,43.75457,634.6667,1693.4655,302.4,302.72293,88.933334,21.585386,424.2,781.32513,85,12.62273,1108.7333,1688.7233,6.3333335,1.247219,178.53334,324.9728,1884.1833,4820.0103,26.673685,49.86222,19.901754,35.478363,3
299.2857,290.72015,134.28572,50.846306,171.85715,279.29218,98,47.101715,397.2857,277.5905,4,0,172,25.719643,123.25,34.33202,48.75,48.586906,405.5,348.59036,125.25,44.91868,280.25,328.71292,91.75,44.8797,669.25,321.57376,6,0,274.9375,397.95798,2408.238,5964.73,27.704082,67.93623,21.37755,36.851753,2
143.33333,64.34974,82.666664,15.040686,69.166664,55.598015,71.166664,23.617907,214.5,46.064266,4.1666665,0.372678,119.8,40.572895,83.8,16.24069,69,22.742031,162.8,51.916855,79.8,14.905032,113,66.941765,65.2,21.348536,347.8,39.29071,6.2,0.39999998,135.5,4.5,4708,8194.61,82.5,119.38827,51.307693,97.71929,1
371.7143,426.20508,194,325.88297,257.57144,433.3029,70.28571,30.424212,501.42856,469.72906,4.285714,0.6998542,172,44.905457,61.5,6.5,110.5,38.97114,142.25,45.31763,57.5,8.381527,84.75,37.022797,55.5,5.315073,369.75,84.22403,6,0,87.666664,14.884743,3376.75,8261.451,46.239132,71.46272,28.413044,42.830593,1
260,225.41554,103.833336,14.582143,157.41667,230.43271,104.583336,12.399317,364.58334,221.98813,4.1666665,0.37267795,156.44444,48.83557,102.666664,11.953614,170.44444,270.70163,374,307.62964,107.22222,13.414568,276.8889,330.35684,107.111115,14.835726,637.55554,322.7538,6.111111,0.31426966,1,1.4142135,3467.6,3305.9075,36.219513,73.29111,20.073172,40.1961,7
393.76923,552.8553,108.84615,81.43694,301.3846,559.66565,91.69231,43.823746,490.3846,589.8673,4.3846154,0.8355985,198.85715,173.18233,83.71429,22.082405,142.57143,162.51933,212.42857,170.79048,77,13.384426,157.14285,167.5755,73.71429,9.437225,485,340.1256,6.142857,0.34992713,101.4,21.518364,1570.5555,3266.693,35.82353,46.751198,20.17647,32.163616,1
475.33334,471.15714,88.5,14.2565775,391.25,470.79083,86.166664,12.661183,561.5,465.1266,4.25,0.4330127,339.55554,395.4966,81.888885,12.818775,284.33334,380.27563,323.55554,349.4679,90.666664,15.347819,410.33334,632.17896,84.888885,14.184847,748,547.446,6.3333335,0.47140452,75.75,21.028255,1135.3572,2059.4678,55.424244,88.38089,13.863636,26.2164,1
301.44446,354.55298,89.111115,14.502448,216.66667,348.4971,88.888885,15.933504,390.33334,352.15115,4.111111,0.31426966,515,688.98004,86.375,9.339934,446.75,680.83954,185,139.239,89.25,15.376524,285.75,420.25104,91.25,15.343973,791.25,660.2404,6.75,1.6393596,74.666664,14.522015,3060.4,3695.618,41.068966,74.9312,37.172413,59.80778,1
630.7647,787.1453,121.52941,146.18123,514.82355,803.9308,89.70588,20.15751,721.41174,791.1385,4.0588236,0.23529412,696.9167,922.1855,85.083336,16.142378,611.8333,930.67377,613.9167,595.83307,86,14.077168,527.9167,601.61053,88.083336,14.534203,1398.9166,1128.903,6,0,129,2.4494898,6703.857,10368.969,48.333332,71.53903,18.027779,35.875164,1
577.6667,828.1319,90.22222,29.031698,492.33334,835.8089,85.111115,27.598085,662.7778,826.9424,4.111111,0.31426966,1456.625,3078.9714,84.5,23.382687,1394.125,3072.0325,625.5,866.56537,88.5,30.356218,558.75,866.70087,77.875,19.636938,2160,3082.9263,6.125,0.3307189,572.6667,683.3156,1698.8235,3696.8599,27.142857,58.714943,19.464285,44.50641,1
319.8,362.8062,146,180.03278,248.1,347.8277,142.8,183.74048,462.6,352.09778,4.2,0.4,185.14285,112.47404,85.14286,18.035114,131.28572,87.71825,391.42856,394.75195,84,18.158037,332.14285,382.014,76.42857,10.210038,653,438.2478,6.142857,0.34992713,13,8,2574.2144,4764.853,52.152172,98.36952,35.326088,49.2977,1
1248.8235,2789.9966,104.64706,23.738628,1149.6471,2799.5034,105.23529,20.735107,1354.0588,2796.3867,4.1764708,0.38122004,225.18182,204.66684,137.54546,82.1278,137,196.03757,272.63635,215.84096,110.181816,20.524124,181.27272,209.78781,99.36364,21.402094,599.36365,332.544,6.2727275,0.44536176,90.833336,11.6105795,3192.353,5532.4497,27.463415,42.096344,13.695122,33.55761,2
733.4,825.1892,133.4,114.914925,615.86664,845.4566,90.46667,11.592335,829.06665,828.3587,4.266667,0.57348835,748.875,1234.3889,91.625,6.1428313,657.25,1235.8201,408.125,484.708,90,6.1032777,456.5,552.5251,92.625,12.951231,1249.625,1255.069,6.5,1.3228756,117.666664,6.236096,2256.2307,3058.6406,26.421053,54.48304,13.289474,23.123135,3
1391.6471,3907.298,88.82353,20.281069,1302.8235,3908.182,85.882355,11.915794,1477.5294,3910.4915,4,0,629.9286,1325.0208,88.85714,21.08438,541.0714,1320.7627,386.5,536.56616,83.85714,12.19401,302.64285,527.81323,85.78571,12.329864,1102.2142,1401.7335,6,0,287.33334,363.75983,852,1728.6636,55.37,92.060715,33.98,61.79319,2
4056.0781,17029.074,111.03125,73.06053,3971.9531,17026.969,87.734375,24.837116,4156.2188,17028.24,4.1875,0.7043392,332.8611,310.2723,82.5,27.260574,397.44446,856.9248,542.0278,1030.4485,88.083336,39.277767,462.83334,1013.487,88.55556,24.175797,964.3333,1016.82465,6.0555553,0.22906142,183.70175,255.30917,2070.4436,6407.299,16.908417,28.989342,13.374587,26.64288,14
1262.0741,3245.9805,151.51852,90.40869,1144.8518,3244.516,106.703705,24.585173,1374.963,3251.6064,4.5555553,2.09644,201.91667,60.349617,136.16667,65.44697,1121.1666,3341.007,1176.75,3372.5957,91.583336,24.387356,1116.4166,3342.6377,103.083336,23.475016,1481.75,3368.006,7,2.738613,325.55884,515.2938,1461.3374,3210.3147,32.083332,68.445,19.095238,42.3035,8
251.6,220.33392,200.4,145.12422,130,213.98412,85.6,18.990524,376.8,191.78989,4,0,643,0,89,0,554,0,91,0,74,0,17,0,84,0,818,0,6,0,51,22.878561,2738.4075,5730.403,74.66438,147.01628,41.69863,75.82272,1
411.14816,484.66113,122.59259,28.128359,299,481.5662,111.55556,26.995653,523.4815,490.7419,4.4814816,1.1011903,424.66666,544.64185,155.91667,114.371796,325,537.64056,292.25,360.17657,123.833336,22.696672,308.25,435.74268,112.083336,23.13172,834.75,631.4375,6.6666665,1.3743685,73,21.92411,5743,10345.983,48.275864,58.054012,16.827587,19.187046,12
429.5476,434.93182,100.35714,67.58375,341.3095,435.4213,81.38095,24.875835,512.9048,437.30573,4.142857,0.34992713,1988.3928,8021.8086,117.39286,121.52964,1927.8928,8020.983,339.4643,422.67035,91.21429,29.49014,520.0357,983.41895,82.60714,25.383263,2410.4644,7993.262,6.571429,1.8789923,272.08334,334.24777,5014.4546,7771.5503,45.870586,77.35873,25.505882,38.453526,5
1232.7142,3020.6863,189.14285,118.75777,1085.5714,3027.9297,135.85715,29.565561,1385.1428,3026.135,4.357143,0.610286,525.2222,833.2319,173,84.118965,640.1111,921.4694,467.55554,622.531,142.44444,34.61891,344.55554,605.4451,140.77777,31.709717,1133.5555,941.60254,6.111111,0.31426966,115.666664,8.956686,3738,8081.5894,27.064516,44.703266,12.032258,13.945715,1
311.16666,404.54065,77,23.007244,238,400.94556,68.416664,11.161379,379.58334,405.5801,4.3333335,0.8498365,497.55554,863.95575,79.77778,24.012856,438.22223,862.2277,204.44444,153.94667,76.333336,26.178871,320.77777,449.54834,67.666664,12.229291,769.6667,845.3308,6.6666665,1.5634719,5,1,5939.4,6423.442,39.548386,63.158703,36.16129,57.221184,1
1621.75,2823.7,206.33333,148.70964,1491.9166,2834.4905,148.66667,45.769955,1819.75,2815.3088,4.25,0.595119,662.5,582.8212,199,100.42742,2282.1667,3395.6367,2801.3333,3573.5874,148.5,52.857513,2803.6667,3491.6208,158,32.89377,3621.8333,3689.2388,6.3333335,0.4714045,253,281.89804,3427.2942,7019.017,37.057972,106.51038,25.333334,58.279354,1
272.75,197.82068,304,368.92657,53.416668,55.7262,99.083336,12.385867,429.16666,303.47565,4,0,189.8,40.563038,98.4,10.403846,91.4,43.76117,160,56.76971,99.2,13.962808,64.2,53.21804,95.6,14.319218,445.4,79.75864,6,0,99.1,15.833193,8331.756,23780.162,39.20548,75.25317,26.324202,51.052387,4
344.1842,445.45428,90.18421,44.924416,259.8158,454.5089,81.10526,30.514702,426.1316,468.78195,4.1842103,0.4504538,231.61539,252.82513,83.73077,17.531418,159.88461,254.25476,208.3077,168.97128,81.23077,14.915937,196.88461,288.1155,75.73077,11.90526,515.6539,326.17917,6.1923075,0.39411342,59.714287,9.050877,3422.5676,12023.866,50.92353,109.52819,19.594118,39.976246,3
400.5,378.6502,89.07143,30.881025,330.5,363.6499,87.92857,34.193703,488.42856,370.98032,4.428571,0.8206518,279.3,258.03256,119.6,113.70065,370,406.67947,425.2,384.42444,81.2,24.6609,402.3,368.30368,83.1,20.18638,787.6,456.22366,6.3,0.64031243,219,193.3546,1240,2419.3503,26.755102,58.145676,20.897959,47.619987,1
469.30554,535.01776,111.55556,88.55051,366.19446,546.7279,87.638885,23.04844,560.94446,541.20374,4.0277777,0.1643355,358.21054,459.31064,98.10526,30.388529,274.8421,464.89676,422.73685,363.4064,89.052635,19.244886,348.8421,397.65326,92.26316,27.002617,873.2105,545.2308,6.0526314,0.22329688,147.6,27.60145,5600.8237,12939.025,26.147058,41.642834,16.808823,28.801167,1
615.9091,682.61597,95.454544,42.58972,527.7273,685.6652,84.84091,14.022616,702.38635,680.50916,4.090909,0.28747982,285.14285,252.40356,82.2381,11.567213,202.90475,249.08553,389.7619,750.0454,79.57143,8.753619,310.1905,752.07404,80.71429,6.9360538,755.619,810.79364,6,0,117.088234,6.8999906,1432.2794,2719.9473,32.14669,59.878986,24.214668,45.751114,129
